@RELATION difficulty.n


@ATTRIBUTE sense {00000, 00001, 10000, 01000, 00010, 00110, 00100}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #every{0,1}
@ATTRIBUTE #writing{0,1}
@ATTRIBUTE #without{0,1}
@ATTRIBUTE #students{0,1}
@ATTRIBUTE #obvious{0,1}
@ATTRIBUTE #making{0,1}
@ATTRIBUTE #fact{0,1}
@ATTRIBUTE #despite{0,1}
@ATTRIBUTE #art{0,1}

@DATA
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,1,0,0,0,0,0,1
00000,0,0,1,0,0,0,0,0,0,1
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,1,0,0,1,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,1,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,1,0
00000,1,0,0,0,0,0,1,0,0,0
00000,1,0,0,0,0,1,0,0,0,0
00000,0,0,0,1,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,1
00000,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,1
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,1
00000,0,0,0,0,0,0,0,1,0,1
00000,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
