@RELATION different.a


@ATTRIBUTE sense {000010, 001010, 010001, 001100, 001000, 010000, 010100, 011000, 000100, 000000, 100000, 000001}
@ATTRIBUTE #ways{0,1}
@ATTRIBUTE #levels{0,1}
@ATTRIBUTE #events{0,1}
@ATTRIBUTE #angles{0,1}
@ATTRIBUTE #writing{0,1}
@ATTRIBUTE #worlds{0,1}
@ATTRIBUTE #wide{0,1}
@ATTRIBUTE #voice{0,1}
@ATTRIBUTE #various{0,1}
@ATTRIBUTE #variety{0,1}
@ATTRIBUTE #tasted{0,1}
@ATTRIBUTE #slightly{0,1}

@DATA
010001,0,0,0,0,0,0,0,0,0,0,0,0
011000,0,0,1,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,1,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,1,0,0,0,0,0,0,0,0
010000,0,0,1,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
100000,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
001100,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
011000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,1,0,0,0,0,1,0,0,0,0,0,0
010000,0,0,0,1,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,1
010000,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,1,0,0,0,1,0,0,1,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,1,0,0,1,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,1,0
000100,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,1,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,1,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
