@RELATION solid.a


@ATTRIBUTE sense {010000000000000, 001000000000000, 000000000000100, 000000100000000, 100000000000000, 000000000000000, 001000000001000, 000001000001000, 000000001001000, 000000001000000, 000000000001000, 000001001000000, 000000000010000, 000001000000000, 000000010000000, 000010000000000, 000000000000010}
@ATTRIBUTE #walls{0,1}
@ATTRIBUTE #supported{0,1}
@ATTRIBUTE #steep{0,1}
@ATTRIBUTE #cream{0,1}
@ATTRIBUTE #wound{0,1}
@ATTRIBUTE #wooden{0,1}
@ATTRIBUTE #winter{0,1}
@ATTRIBUTE #wax{0,1}
@ATTRIBUTE #wave{0,1}
@ATTRIBUTE #unplasticised{0,1}
@ATTRIBUTE #tree{0,1}
@ATTRIBUTE #timber{0,1}

@DATA
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,1
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,1
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,1,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000,0,0,0,0,0,0,0,0,0,0,0,0
